course_code,year,quarter,quarter_order,overall_summative_rating,challenge_engagement_index,term
CSS142,2017,AU,3,3.9,6.2,AU17
CSS132,2017,AU,3,3.1,5.9,AU17
CSS343,2018,WI,0,4.4,5.2,WI18
CSS343,2018,WI,0,4.0,5.6,WI18
CSS133,2018,WI,0,3.5,5.3,WI18
CSS385,2018,SP,1,3.1,4.4,SP18
CSS342,2018,SP,1,4.1,5.3,SP18
CSS390,2018,AU,3,2.3,4.7,AU18
CSS132,2018,AU,3,3.1,5.2,AU18
CSS343,2018,AU,3,4.6,5.6,AU18
CSS343,2019,WI,0,4.6,5.8,WI19
CSS133,2019,WI,0,3.6,5.9,WI19
CSS430,2019,SP,1,3.8,5.8,SP19
BIMD363,2019,SP,1,2.0,5.2,SP19
CSS385,2019,SP,1,4.6,5.2,SP19
CSS132,2019,AU,3,3.3,5.1,AU19
CSS342,2019,AU,3,4.1,5.6,AU19
CSS343,2019,AU,3,4.4,5.8,AU19
CSS133,2020,WI,0,3.5,5.2,WI20
CSS390,2020,WI,0,3.8,5.0,WI20
CSS343,2020,WI,0,4.6,5.8,WI20
CSS385,2020,SP,1,3.8,5.0,SP20
CSS430,2020,SP,1,4.2,5.8,SP20
CSS390,2020,SU,2,4.5,6.0,SU20
CSS342,2020,AU,3,3.3,5.6,AU20
CSS132,2020,AU,3,3.8,5.5,AU20
CSS382,2021,WI,0,4.6,5.8,WI21
CSS133,2021,WI,0,3.9,4.9,WI21
CSS343,2021,WI,0,4.1,5.4,WI21
CSS430,2021,SP,1,3.8,5.1,SP21
CSS385,2021,SP,1,4.3,5.0,SP21
CSS382,2021,SP,1,3.7,5.2,SP21
CSS342,2021,AU,3,4.2,5.8,AU21
CSS142,2021,AU,3,3.9,5.7,AU21
CSS132,2021,AU,3,4.3,5.6,AU21
CSS382,2022,WI,0,4.0,5.3,WI22
CSS343,2022,WI,0,4.7,6.0,WI22
CSS133,2022,WI,0,4.8,5.6,WI22
CSS342,2022,AU,3,4.2,6.0,AU22
CSS385,2022,AU,3,4.0,5.7,AU22
CSS342,2023,WI,0,4.5,5.8,WI23
CSS430,2023,WI,0,4.1,5.7,WI23
CSS382,2023,SP,1,3.9,5.1,SP23
CSS385,2023,SP,1,4.3,4.7,SP23
CSS342,2023,SP,1,4.4,5.7,SP23
CSS343,2023,SP,1,4.7,5.4,SP23
CSS422,2023,AU,3,3.9,5.9,AU23
CSS343,2023,AU,3,4.2,5.7,AU23
CSS342,2023,AU,3,4.7,5.6,AU23
CSS430,2024,WI,0,4.2,5.7,WI24
CSS343,2024,WI,0,4.4,5.7,WI24
CSS385,2024,SP,1,4.3,4.9,SP24
CSS422,2024,SP,1,4.2,5.8,SP24
CSS143,2024,AU,3,3.7,5.6,AU24
BCORE104,2024,AU,3,4.6,4.2,AU24
CSS422,2024,AU,3,3.6,5.5,AU24
CSS430,2025,WI,0,4.3,5.3,WI25
CSS343,2025,WI,0,4.1,5.2,WI25
CSS143,2025,WI,0,4.1,5.6,WI25
CSS385,2025,SP,1,4.2,5.2,SP25
CSS343,2025,SP,1,3.8,5.2,SP25
CSS343,2025,AU,3,2.9,5.4,AU25
CSS343,2025,AU,3,3.5,4.9,AU25
CSS430,2025,AU,3,3.7,5.7,AU25
CSS343,2026,WI,0,4.4,5.7,WI26
CSS430,2026,WI,0,3.7,5.4,WI26
CSS430,2026,WI,0,3.4,5.6,WI26
